;created_at;text;Lang;user.screen_name;;
146;2021-09-03 06:55:38;song joongki jadi BA Scarlett, setidaknya aku pernah menggunakan bodycare yg sama dengan sjk ?? WKWKWKWK;id;imarkleegf_;;
147;2021-09-03 06:55:46;itu scarlett jadiin joongki jadi ambassador harga produk naik kaga ya? ??;id;amandakwon_;;
148;2021-09-03 06:55:51;Scarlett keren bgt sii, song joong ki jadi star ambassador nya dong?? ibu feli dan bapak hito keren dehhh;id;jjsiozx;;
149;2021-09-03 06:55:55;ntu beneran om song joongki jd ba scarlett?;id;cherryjisaeri;;
150;2021-09-03 06:59:33;Waw song joong ki jadi BA scarlett;id;celsaniy;;
151;2021-09-03 06:59:41;Felicia sekali suka sama artis korea langsung dijadiin BA produknya sendiri ya. Gilakk gilakk?? song joong ki x scarlett njirrr;id;sanniebestboy99;;
152;2021-09-03 07:00:09;joongki jadi BA scarlett gatau mau nangis apa ketawa. aku punya lotionnya tapi dipake kalo inget doang??;id;blueminglilacs_;;
153;2021-09-03 07:00:36;@redbeenbingsu wah parah sih scarlett beneran sesukses itu sampe bisa bayar joongki buat jadi ba nya;id;wivbingud;;
154;2021-09-03 07:02:24;speechless liat joongki jadi BA scarlett;id;myseonhoe;;
155;2021-09-03 07:02:27;Song joong ki jadi star ambasador scarlett ya??;id;prfctangell;;
156;2021-09-03 07:03:21;HAHAHA keren bgt joongki bnrbnr jadi start ambassador scarlett:3;id;adeiramuliani_;;
157;2021-09-03 07:04:41;demiapasi song joong ki jadi ba nya scarlett, kok kereeeen ??;id;jjkmalvantae;;
158;2021-09-03 07:05:52;dari scarlett awal keluar sampe skrng brand ambasador nya Song Joong Ki gua blom pernah kesampean punya wkwkwk;id;fideliaputeri;;
159;2021-09-03 07:07:31;Song joongki beneran jadi BA Scarlett?? KAGET;id;jinniegans;;
160;2021-09-03 07:08:10;Terus itu joongki ya yang scarlett? Hahahah makin rame ya dari korea;id;JINRl;;
161;2021-09-03 07:10:31;nanti beli scarlett dapet pc song joongki ga ya??... HAHAHAHAH;id;_imauve;;
162;2021-09-03 07:13:18;gw kurang suka ih sama si scarlett ini terus sekarang song joongki yang jadi BA nya??? atulahhh?? https://t.co/FRNXiyutpO;id;ninifluffybear;;
163;2021-09-03 07:13:22;sebagai penglaris scarlett, trus joongki jd BA woww aku sangat banggaaaaa????;id;opvwxyz;;
164;2021-09-03 07:13:38;Anjir song joongki jadi BA scarlett demi apa sih.... kaget tp jujur dalam hati yg paling dalem kok mau ya doi. Berarti bayarannya juga fantastis ?? https://t.co/T6tfL7WdqW;id;thrillmate;;
165;2021-09-03 07:15:15;Scarlett keren bgt sekalinya pake BA langsung Song Joong Ki, duit semua itu pasti yah buat bayarnya;id;Feraidrn;;
166;2021-09-03 07:15:18;song joongki jadi ba scarlett gw mikirin dia dibayar berapa ANJRITTT GWS;id;skcyze;;
167;2021-09-03 07:16:18;serumnya lumayan bagus si scarlett tu, tapi packaging-nya masi kurang hightclass. sekelas song joongki jadi ba scarlett, bikin kayak jomplang value product-nya gara-gara packaging. https://t.co/8mDfeJlqgV;id;joournalika;;
168;2021-09-03 07:17:28;"Jae ngelive
Song joongki jd BA scarlett
Sungguh jumat yg terkaget2";id;punyaonye;;
169;2021-09-03 07:17:44;Scarlett mantep juga ba nya song joongki????;id;moccaramell_;;
170;2021-09-03 07:19:50;another bikin kapjagi siang2 gini, joongki beneran jadi BA scarlett woii;id;jaeyimoons;;
171;2021-09-03 07:20:38;Joongki jadi BA scarlett ya allah;id;SEOPRADA;;
172;2021-09-03 07:22:15;yalloh gamon teko vincenzo apalagi saiki jd BA scarlett lak seneng ta aku mariki mari ados mambu joongki huwaaa ????;id;N447WA;;
173;2021-09-03 07:22:24;"SUMPAH? JOONGKI JADI BA SCARLETT? HUWAAAAAA BAYAR BERAPE GILE??
YA ALLAH DUREN GUE JADI BA SCARLETT, DITUNGGU BANGET KEDATANGANNYA DI INDO??????";id;ndaaanada;;
174;2021-09-03 07:23:56;"brand lokal indonesia makin makin asdfghj

#TREASURExRuangguru ????
keren parah si kalo beneran Song Joongki jdi BA Song Joongki jdi BA Scarlett Whitening https://t.co/Ezw5AJv1WA";id;nananookV;;
175;2021-09-03 07:24:20;packaging scarlett terlalu simpel buat seorang song joong ki https://t.co/o0Ncicfyre;id;oohnayy;;
176;2021-09-03 07:26:17;Song Joong Ki jadi BA SCARLETT ?! Keren ????;id;swankyeol;;
177;2021-09-03 07:27:53;daebak! star ambassador nya scarlett song joong ki dong keren bgt asdfjkl??;id;syababee;;
178;2021-09-03 07:27:54;SCARLETT X SONG JOONGKI DONGGGGG  MGDLGDLYDLGDOYDOTDKFDJTEID, semoga harganya ttp segitu2 aja deh ?? https://t.co/qFAJH9wNpc;id;11jjkook;;
179;2021-09-03 07:28:13;JOONGKI BA NYA SCARLETT WOW??????;id;jangankasihtau;;
180;2021-09-03 07:28:34;Erigo keren sii, dan asik kayanya tu yg pada ke New York.. Scarlett juga edan si, Song Joong Ki jd star ambasador nya gitu??;id;nurzaliasari;;
181;2021-09-03 07:28:51;WAH GILA BENER TERNYATA! Song Joongki jadi BA Scarlett!???? https://t.co/OjOrZvn7aD https://t.co/QGIxhMqcZn;id;biyastufff;;
182;2021-09-03 07:30:14;ANJIR BENERAN DONG SONG JOONG KI JADI BANYA SCARLETT ?? MEREKA BAYAR BERAPA ANJIR?! PANTESAN OWNERNYA BISA VIDCALL SAMA JOONG KI https://t.co/JeUMTaKSks;id;lilackdrama;;
183;2021-09-03 07:33:10;WEH JOONGKI ?????? pls scarlett jangan tambah mahal ?? https://t.co/9f9Rqp7ujQ;id;cutycheol;;
184;2021-09-03 07:35:20;scarlett cakepinn packaging lo anjirrr itu ba nye joongki napa packaging nya kaya gitu?? https://t.co/de0Nkn8OnY;id;lagilagideff;;
185;2021-09-03 07:35:29;Siangnya gue guling-guling krn tetiba scarlett pake BA song joong ki ??;id;garfilll;;
186;2021-09-03 07:35:44;Tapi song joong ki kan emang udah putih dan bersih alias Shining shimmering splendid dari sananya yak jadi doi pake scarlett mah kagak ngaruh malah makin putih kayak kertas nanti https://t.co/tViazxHXNi;id;lilackdrama;;
187;2021-09-03 07:35:45;AKU SBG PENGGUNA SCARLETT KENAPA BAHAGIA BGT BA NYA SONG JOONG KI;id;pinavyy_;;
188;2021-09-03 07:38:07;wow ini song joongki beneran jadi BAnya scarlett?;id;nonabigwin;;
189;2021-09-03 07:38:19;GILAAA SONG JOONG KI JADI BA SCARLETT DONG OMG;id;jessgyuwon;;
190;2021-09-03 07:39:26;mantep amat song joongki jadi BA scarlett wkwkk;id;grassinjeunii;;
191;2021-09-03 07:39:52;Beneran joongki dongggg udah ada di ig scarlett;id;jangankasihtau;;
192;2021-09-03 07:40:08;eh gila sih song joong ki jd BA scarlett?? keren” local brand skrgg????;id;autumnjk97;;
193;2021-09-03 07:40:36;scarlett pake song joong ki buat brand ambassadornya skrg haduuuhh;id;kenbatavira;;
194;2021-09-03 07:41:08;itu scarlett bayar berapa ya buat ngegandeng song joong ki ??;id;iniekonnana;;
195;2021-09-03 07:44:08;@ksjinxcil yang bos scarlett kan sudah vc song joongki;id;heeeyseo;;
196;2021-09-03 07:48:34;Song joong ki dibayar brp cb jd BA scarlett;id;mentalfreeze_;;
